geo_id,question_id,cluster_id,query
aaa_alternative_geo_82,aaa_alternative_81,aaa_alternative,AAA alternative roadside assistance Minneapolis
aaa_alternative_geo_76,aaa_alternative_75,aaa_alternative,alternative to AAA roadside assistance Minneapolis
aaa_alternative_geo_77,aaa_alternative_76,aaa_alternative,roadside assistance alternatives to AAA in Minneapolis
aaa_alternative_geo_85,aaa_alternative_84,aaa_alternative,best roadside assistance services besides AAA Minneapolis
aaa_alternative_geo_83,aaa_alternative_82,aaa_alternative,AAA alternative for tow and roadside help Minneapolis
aaa_alternative_geo_86,aaa_alternative_85,aaa_alternative,cheap roadside assistance options other than AAA Minneapolis
aaa_alternative_geo_78,aaa_alternative_77,aaa_alternative,local tow and roadside assistance not AAA Minneapolis
aaa_alternative_geo_79,aaa_alternative_78,aaa_alternative,companies like AAA for roadside assistance in Minneapolis
aaa_alternative_geo_80,aaa_alternative_79,aaa_alternative,who offers roadside assistance besides AAA near Minneapolis
aaa_alternative_geo_84,aaa_alternative_83,aaa_alternative,roadside assistance memberships similar to AAA Minneapolis
aaa_alternative_geo_81,aaa_alternative_80,aaa_alternative,emergency roadside service alternatives to AAA Minneapolis
amazon_prime_cancel_geo_87,amazon_prime_cancel_86,amazon_prime_cancel,how to cancel Amazon Prime
amazon_prime_cancel_geo_136,amazon_prime_cancel_97,amazon_prime_cancel,Amazon customer service phone number
amazon_prime_cancel_geo_88,amazon_prime_cancel_87,amazon_prime_cancel,how do I cancel Amazon Prime
amazon_prime_cancel_geo_137,amazon_prime_cancel_98,amazon_prime_cancel,Amazon customer service number
amazon_prime_cancel_geo_97,amazon_prime_cancel_96,amazon_prime_cancel,cancel Amazon Prime membership
amazon_prime_cancel_geo_138,amazon_prime_cancel_99,amazon_prime_cancel,phone number for Amazon customer service
amazon_prime_cancel_geo_89,amazon_prime_cancel_88,amazon_prime_cancel,how can I cancel my Amazon Prime subscription
amazon_prime_cancel_geo_139,amazon_prime_cancel_100,amazon_prime_cancel,contact Amazon by phone
amazon_prime_cancel_geo_90,amazon_prime_cancel_89,amazon_prime_cancel,steps to cancel Amazon Prime
amazon_prime_cancel_geo_140,amazon_prime_cancel_101,amazon_prime_cancel,Amazon support phone number
amazon_prime_cancel_geo_91,amazon_prime_cancel_90,amazon_prime_cancel,how to end my Amazon Prime membership
amazon_prime_cancel_geo_141,amazon_prime_cancel_102,amazon_prime_cancel,what is Amazon customer service phone number
amazon_prime_cancel_geo_92,amazon_prime_cancel_91,amazon_prime_cancel,cancel Prime membership on Amazon account
amazon_prime_cancel_geo_142,amazon_prime_cancel_103,amazon_prime_cancel,call Amazon customer service number
amazon_prime_cancel_geo_94,amazon_prime_cancel_93,amazon_prime_cancel,how do I stop my Amazon Prime subscription
amazon_prime_cancel_geo_143,amazon_prime_cancel_104,amazon_prime_cancel,Amazon help phone number
amazon_prime_cancel_geo_95,amazon_prime_cancel_94,amazon_prime_cancel,remove Amazon Prime subscription from account
amazon_prime_cancel_geo_144,amazon_prime_cancel_105,amazon_prime_cancel,phone number to reach Amazon customer support
amazon_prime_cancel_geo_96,amazon_prime_cancel_95,amazon_prime_cancel,how to turn off Amazon Prime auto renewal
amazon_prime_cancel_geo_145,amazon_prime_cancel_106,amazon_prime_cancel,Amazon customer service contact number
amazon_prime_cancel_geo_93,amazon_prime_cancel_92,amazon_prime_cancel,how do I cancel Prime on my account
amazon_prime_cancel_geo_146,amazon_prime_cancel_107,amazon_prime_cancel,Amazon customer service phone
antivirus_software_geo_98,antivirus_software_97,antivirus_software,best antivirus software 2026
antivirus_software_geo_99,antivirus_software_98,antivirus_software,top antivirus software 2026
antivirus_software_geo_100,antivirus_software_99,antivirus_software,best antivirus programs 2026
antivirus_software_geo_101,antivirus_software_100,antivirus_software,best antivirus software of 2026
antivirus_software_geo_108,antivirus_software_107,antivirus_software,best antivirus software 2026 reviews
antivirus_software_geo_102,antivirus_software_101,antivirus_software,which antivirus software is best 2026
antivirus_software_geo_103,antivirus_software_102,antivirus_software,2026 best antivirus software rankings
antivirus_software_geo_104,antivirus_software_103,antivirus_software,compare best antivirus software 2026
antivirus_software_geo_105,antivirus_software_104,antivirus_software,best antivirus protection software 2026
antivirus_software_geo_106,antivirus_software_105,antivirus_software,best antivirus suites 2026
antivirus_software_geo_107,antivirus_software_106,antivirus_software,leading antivirus software 2026
best_mexican_food_geo_147,best_mexican_food_10,best_mexican_food,best Mexican food near Austin
best_mexican_food_geo_1,best_mexican_food_0,best_mexican_food,best Mexican restaurants near Austin
best_mexican_food_geo_2,best_mexican_food_1,best_mexican_food,top Mexican food spots near Austin
best_mexican_food_geo_3,best_mexican_food_2,best_mexican_food,best places for Mexican food near Austin
best_mexican_food_geo_4,best_mexican_food_3,best_mexican_food,where to find the best Mexican food near Austin
best_mexican_food_geo_5,best_mexican_food_4,best_mexican_food,best authentic Mexican restaurants near Austin
best_mexican_food_geo_6,best_mexican_food_5,best_mexican_food,best Mexican food in and around Austin
best_mexican_food_geo_7,best_mexican_food_6,best_mexican_food,highest rated Mexican restaurants near Austin
best_mexican_food_geo_8,best_mexican_food_7,best_mexican_food,best spots for Mexican food in Austin area
best_mexican_food_geo_9,best_mexican_food_8,best_mexican_food,popular Mexican restaurants near Austin
best_mexican_food_geo_10,best_mexican_food_9,best_mexican_food,where are the best Mexican restaurants near Austin
best_brunch_geo_118,best_brunch_117,best_brunch,best brunch spots in Detroit
best_brunch_geo_119,best_brunch_118,best_brunch,best places for brunch in Detroit
best_brunch_geo_109,best_brunch_108,best_brunch,top brunch spots in Detroit
best_brunch_geo_110,best_brunch_109,best_brunch,best brunch restaurants in Detroit
best_brunch_geo_117,best_brunch_116,best_brunch,best spots for brunch in Detroit
best_brunch_geo_115,best_brunch_114,best_brunch,where to go for brunch in Detroit
best_brunch_geo_111,best_brunch_110,best_brunch,best brunch places in Detroit
best_brunch_geo_112,best_brunch_111,best_brunch,top-rated brunch places in Detroit
best_brunch_geo_113,best_brunch_112,best_brunch,popular brunch spots in Detroit
best_brunch_geo_116,best_brunch_115,best_brunch,brunch recommendations in Detroit
best_brunch_geo_114,best_brunch_113,best_brunch,where to find the best brunch in Detroit
comcast_xfinity_cancel_geo_29,comcast_xfinity_cancel_28,comcast_xfinity_cancel,how to cancel Comcast Xfinity
comcast_xfinity_cancel_geo_148,comcast_xfinity_cancel_32,comcast_xfinity_cancel,Xfinity customer service phone number
comcast_xfinity_cancel_geo_11,comcast_xfinity_cancel_10,comcast_xfinity_cancel,cancel Xfinity internet
comcast_xfinity_cancel_geo_23,comcast_xfinity_cancel_22,comcast_xfinity_cancel,how do I cancel my Comcast Xfinity service
comcast_xfinity_cancel_geo_149,comcast_xfinity_cancel_33,comcast_xfinity_cancel,Xfinity customer service number
comcast_xfinity_cancel_geo_12,comcast_xfinity_cancel_11,comcast_xfinity_cancel,how to cancel Xfinity internet service
comcast_xfinity_cancel_geo_30,comcast_xfinity_cancel_29,comcast_xfinity_cancel,steps to cancel Comcast Xfinity
comcast_xfinity_cancel_geo_150,comcast_xfinity_cancel_34,comcast_xfinity_cancel,Comcast Xfinity customer support phone
comcast_xfinity_cancel_geo_13,comcast_xfinity_cancel_12,comcast_xfinity_cancel,cancel Xfinity home internet
comcast_xfinity_cancel_geo_24,comcast_xfinity_cancel_23,comcast_xfinity_cancel,can I cancel Comcast Xfinity online
comcast_xfinity_cancel_geo_151,comcast_xfinity_cancel_35,comcast_xfinity_cancel,phone number for Xfinity customer service
comcast_xfinity_cancel_geo_25,comcast_xfinity_cancel_24,comcast_xfinity_cancel,how do I cancel Xfinity internet plan
comcast_xfinity_cancel_geo_14,comcast_xfinity_cancel_13,comcast_xfinity_cancel,how to end my Comcast Xfinity account
comcast_xfinity_cancel_geo_152,comcast_xfinity_cancel_36,comcast_xfinity_cancel,Xfinity support phone number
comcast_xfinity_cancel_geo_26,comcast_xfinity_cancel_25,comcast_xfinity_cancel,cancel my Xfinity internet
comcast_xfinity_cancel_geo_15,comcast_xfinity_cancel_14,comcast_xfinity_cancel,what's the process to cancel Comcast Xfinity
comcast_xfinity_cancel_geo_153,comcast_xfinity_cancel_37,comcast_xfinity_cancel,contact number for Xfinity customer service
comcast_xfinity_cancel_geo_16,comcast_xfinity_cancel_15,comcast_xfinity_cancel,stop Xfinity internet service
